TransData v1.8
Copyright (c) 2001-2009 by George Moromisato. All Rights Reserved.

Loading...done.
level	category	frequency	shortName	hp	effectiveHP	adjustedHP
1	Armor	C	ultra light titanium armor	5	5	5	5	5	5	5	5	5	5	4	4	3	3	2	2	1	1
1	Armor	UC	light ceramic armor	25	36	50	25	25	25	25	25	25	25	20	20	13	13	8	8	5	5
1	Armor	UC	light titanium armor	10	10	10	10	10	10	10	10	10	10	8	8	5	5	3	3	2	2
1	Armor	UC	titanium armor	20	20	20	20	20	20	20	20	20	20	16	16	10	10	7	7	4	4
2	Armor	C	heavy titanium armor	45	54	56	56	45	45	45	45	45	45	36	36	23	23	15	15	9	9
2	Armor	UC	ceramic armor	35	58	80	44	53	35	35	35	35	35	28	28	18	18	12	12	7	7
2	Armor	UC	light reactive armor	25	40	31	57	25	25	25	25	25	25	20	20	13	13	8	8	5	5
2	Armor	UC	light Sung armor	25	30	31	31	38	19	25	25	25	25	20	20	13	13	8	8	5	5
2	Armor	UC	reactive armor	35	58	44	80	35	53	35	35	35	35	28	28	18	18	12	12	7	7
2	Armor	UC	titanium barricade	90	108	113	113	90	90	90	90	90	90	72	72	45	45	30	30	18	18
2	Armor	R	light Urak armor	20	49	56	56	20	20	20	20	20	20	16	16	10	10	7	7	4	4
2	Armor	R	XMH armor	40	85	91	91	61	61	40	40	40	40	32	32	20	20	13	13	8	8
3	Armor	C	light plasteel armor	60	84	100	100	60	60	60	60	60	60	48	48	30	30	20	20	12	12
3	Armor	UC	double titanium barricade	150	211	250	250	150	150	150	150	150	150	120	120	75	75	50	50	30	30
3	Armor	UC	heavy ceramic armor	50	87	135	71	76	50	50	50	50	50	40	40	25	25	17	17	10	10
3	Armor	UC	heavy reactive armor	50	91	83	135	50	76	50	50	50	50	40	40	25	25	17	17	10	10
3	Armor	R	Dwarg chiton armor	30	45	50	50	45	30	30	30	30	30	24	24	15	15	10	10	6	6
3	Armor	R	hardened reactive armor	50	91	83	135	50	76	50	50	50	50	40	40	25	25	17	17	10	10
3	Armor	R	photo-organic armor	50	85	135	71	76	38	50	50	50	50	40	40	25	25	17	17	10	10
3	Armor	R	polymesh armor	50	81	58	135	38	76	50	50	50	50	40	40	25	25	17	17	10	10
4	Armor	C	plasteel armor	80	124	200	200	80	80	80	80	80	80	80	80	64	64	40	40	27	27
4	Armor	C	polyceramic armor	70	129	250	159	106	70	70	70	70	70	70	70	56	56	35	35	23	23
4	Armor	UC	quad titanium barricade	270	418	675	675	270	270	270	270	270	270	270	270	216	216	135	135	90	90
4	Armor	UC	advanced reactive armor	70	132	175	250	70	106	70	70	70	70	70	70	56	56	35	35	23	23
4	Armor	UC	Tevlar-composite armor	70	125	212	175	106	70	70	70	70	70	70	70	56	56	35	35	23	23
4	Armor	R	heavy Urak armor	80	200	286	286	160	160	80	80	80	80	80	80	64	64	40	40	27	27
4	Armor	R	light meteorsteel	100	231	303	303	200	200	100	100	100	100	100	100	80	80	50	50	33	33
4	Armor	R	solar armor	75	125	268	150	94	56	94	75	75	75	75	75	60	60	38	38	25	25
4	Armor	R	V10 powered armor	80	124	200	200	80	80	80	80	80	80	80	80	64	64	40	40	27	27
5	Armor	C	ceralloy armor	85	167	340	340	193	85	129	85	85	85	85	85	68	68	43	43	28	28
5	Armor	C	heavy plasteel armor	100	167	400	400	125	125	100	100	100	100	100	100	80	80	50	50	33	33
5	Armor	UC	light blast plate	90	183	360	360	113	205	90	113	90	90	90	90	72	72	45	45	30	30
