Level	System	Loot
1	5 Indi	4229.73
5	55 Cancri	7923.35
4	70 Ophiuchi	14995.70
5	Acheron	45994.31
3	Al Maisan	9420.04
6	Alembra	18343.91
5	Amphion	74615.25
3	Ankaa	11383.98
5	Arrakis	23849.04
6	Bhutihan	144190.14
2	Cairn	5818.83
3	Charon	42087.23
6	Cinder	11765.23
2	Cygni	10334.92
9	Dantalion	1132112.01
9	Denebola	229408.64
5	Domitus	63192.18
4	Dorado	29754.34
4	Draconis	47916.09
7	Enkidu	92345.16
9	Erebus	279982.71
1	Eridani	7544.37
5	Estelle	23547.14
7	Eta Ceti	628361.59
6	Exael	84559.20
7	Flauros	158486.26
3	Fridlund	9564.36
6	Galgaliel	132884.04
5	Gehenna	34637.26
1	Groombridge	3010.49
4	Hadar	23154.91
10	HD 11901	390697.99
10	HD 44594	308346.63
3	Hena's Star	15879.16
10	Heretic	1591622.00
4	Humboldt	19708.09
10	IC 767	492417.42
5	Jaoel	25931.74
6	Jiang's Star	440237.80
3	Jotunheim	7953.08
5	Junger	30955.46
5	Kanto	17751.96
3	Kaus Media	5408.63
5	Khaldun	22090.54
8	Ki Xyrrmir	168045.96
5	Kinder's Star	45467.41
5	Kruger 60	13393.70
7	Kunlun	229445.52
3	L372	2746.87
2	Lacaille	3271.76
1	Lalande	2588.82
5	Lebezerin	50570.99
8	Li	124800.31
7	Liu Bai	139446.97
10	LV 426	447366.54
6	Maharashtra	123701.81
3	Manchester	2690.95
9	Meri	314385.40
8	Metatron	156358.57
3	Moren-Lin	9105.78
4	Mu Casser	36936.90
4	Neheb	23237.43
6	Nobunaga	20839.15
6	Numerianus	190467.24
2	Orgos	6778.52
5	Orthrus	59775.96
9	Penati	403776.45
7	Peng Lai	94981.88
9	Pharos	426662.74
8	Point Juno	685924.36
8	Qilin	193166.93
8	Que Qiao	161219.94
2	Ras Alhague	5329.41
5	Ravena	16690.55
5	Raziel	53116.79
2	Rigel Aurelius	52910.10
2	Ross 248	3146.60
5	Sanctuary	274470.23
9	Saurus Mons	466717.67
7	Severian's Star	143541.18
7	Shenlong	130365.01
5	Shihab	3154.52
7	Sleng	123906.30
8	St. Esperance's Star	56610.67
4	St. Katharine's Star	46915.16
8	Tao Tie	230936.59
5	Tarterus	25368.90
8	Tianlong	270621.00
5	Tiberius	69256.93
5	Trajan	45074.08
7	Tzadkiel	127316.00
8	Ulom	122396.40
9	Umi	152563.58
3	Van Maanen	10010.65
9	Vori	611653.63
6	Zethus	80919.18
7	Zhang Li	74180.81
